first_name,last_name,date_of_birth,current_school,current_grade,default_discount_percentage
Brian,Martin,2010-12-26,,Sophomore,24.4
Catherine,Gonzalez,2010-07-16,Truong THPT Vo Thi Sau,,42.8
Quinn,Tran,,Truong THPT Nguyen Trai,,23.1
Thu,Phung,2009-12-23,Truong THPT Nguyen Hue,,23.5
Xuan,Bui,2011-05-23,Truong THPT Ly Tu Trong,Junior,23.3
Minh,Ly,2009-03-28,,12,30.7
Paul,Phung,2009-12-12,Stanford University,Senior,34.9
Sang,Tran,2008-05-15,University of Chicago,,4.9
Frank,Williams,2011-09-11,,Freshman,48.2
Brian,Davis,,,Junior,41.9
Ivy,Davis,2011-05-01,,,1.2
An,Vu,2009-03-17,Truong THPT Nguyen Hue,,34.2
Yen,Le,,University of California,,29.8
David,Lopez,2010-03-14,Truong THPT Vo Thi Sau,Freshman,3.7
Brian,Rodriguez,,Northwestern University,Freshman,1.2
Rachel,Vo,2008-03-16,Truong THPT Le Loi,Sophomore,24.4
Oanh,Dang,2010-01-01,Truong THPT Quang Trung,9,30.8
Chi,Moore,,Truong THPT Hai Ba Trung,9,45.5
Catherine,Hernandez,2009-08-11,,Sophomore,4.5
Giang,Nguyen,,MIT,Freshman,43.1
Sang,Brown,,MIT,,29.0
Kelly,Wilson,2011-08-01,Princeton University,Junior,14.0
Henry,Do,2011-01-15,Truong THPT Ly Tu Trong,10,44.0
Henry,Dong,2010-09-07,University of Chicago,12,17.5
Nam,Le,2008-06-23,University of Chicago,,45.0
Oanh,Le,2009-08-30,Stanford University,9,31.0
Kelly,Ly,2008-07-02,MIT,,27.4
Henry,Vo,2009-11-20,Northwestern University,,44.9
Sam,Moore,,Northwestern University,11,3.2
Phong,Jones,,Columbia University,,37.4
Chi,Ho,2010-06-10,Truong THPT Vo Thi Sau,Junior,21.8
Sang,Vo,2010-07-25,Yale University,,0.4
Nam,Gonzalez,,Truong THPT Le Quy Don,,11.4
Xuan,Le,,,,27.3
Duc,Miller,2009-01-23,,,16.5
Binh,Hernandez,2008-01-01,Truong THPT Ly Tu Trong,,30.1
Ivy,Jackson,2009-08-30,Truong THPT Hai Ba Trung,Freshman,43.8
Thu,Davis,2009-11-08,Stanford University,Senior,38.4
Grace,Dong,2010-04-21,Princeton University,,31.1
Viet,Brown,2009-08-15,Columbia University,,30.0
Duc,Taylor,2010-04-28,Truong THPT Le Quy Don,,38.6
Kelly,Hoang,2010-03-22,University of Chicago,,25.7
Nam,Garcia,2009-01-28,Truong THPT Ly Tu Trong,,48.8
Nam,Ly,2011-02-15,Truong THPT Le Quy Don,,27.8
Viet,Dang,2010-03-31,,10,38.5
Noah,Ho,2009-04-26,Princeton University,12,23.2
Olivia,Vo,2010-05-07,Truong THPT Tran Phu,Junior,25.1
Giang,Do,,Duke University,,35.6
Brian,Dang,2011-01-14,Truong THPT Hai Ba Trung,12,38.4
Minh,Vo,2009-08-15,Harvard University,,7.2
Uyen,Tran,,Truong THPT Vo Thi Sau,Junior,15.2
Khanh,Miller,2009-03-06,Northwestern University,,41.4
Quinn,Taylor,2010-10-30,Truong THPT Le Quy Don,,24.1
Ivy,Dang,2011-05-06,Yale University,12,10.5
Paul,Taylor,2010-04-03,Princeton University,,17.0
Catherine,Phan,2011-02-27,Stanford University,11,21.2
Giang,Anderson,,Truong THPT Hai Ba Trung,Freshman,1.1
Thu,Lopez,2009-07-18,Princeton University,,26.8
Brian,Davis,2009-08-26,,Sophomore,25.8
Binh,Rodriguez,2010-03-15,Truong THPT Quang Trung,,30.7
Brian,Pham,2011-03-09,Truong THPT Vo Thi Sau,,10.2
Sang,Dinh,2009-09-22,,,33.7
Jack,Phung,2009-11-03,Columbia University,12,49.3
Giang,Vo,2011-10-29,Truong THPT Hai Ba Trung,,24.4
Yen,Garcia,,Harvard University,Junior,4.4
Binh,Dang,2009-09-06,Truong THPT Le Loi,10,32.4
Emma,Taylor,,Truong THPT Nguyen Du,,36.6
Noah,Vu,2011-01-15,,10,29.1
Uyen,Lopez,2008-07-03,Columbia University,12,40.1
Emma,Duong,2009-08-20,,Junior,35.1
David,Vo,2009-08-09,Truong THPT Nguyen Hue,Sophomore,18.6
Sang,Vu,2008-05-06,Princeton University,Sophomore,16.6
Tina,Hernandez,2008-03-10,Truong THPT Quang Trung,11,7.1
Giang,Le,2010-09-22,,,21.9
Kelly,Tran,,Truong THPT Quang Trung,12,25.7
Khanh,Garcia,2009-11-15,Truong THPT Ly Tu Trong,,35.5
Minh,Do,2008-02-29,Harvard University,Freshman,41.2
Jack,Hoang,2010-06-07,Truong THPT Le Quy Don,,30.8
Em,Anderson,2010-03-28,Truong THPT Hai Ba Trung,12,25.9
Alex,Dang,2010-03-17,Truong THPT Ly Tu Trong,Freshman,10.0
Thu,Ngo,2009-10-06,,10,25.4
Khanh,Martinez,2011-08-22,Truong THPT Tran Phu,11,47.1
Frank,Do,2009-01-28,Truong THPT Hai Ba Trung,Sophomore,27.7
Binh,Garcia,2010-05-15,Stanford University,,25.7
Yen,Vu,2009-06-18,,,4.7
Binh,Phung,,Truong THPT Hai Ba Trung,10,41.2
Thu,Martin,2010-10-05,Yale University,,9.8
Catherine,Martinez,2008-03-23,,,5.2
Maya,Dang,,Truong THPT Le Loi,,16.5
Paul,Garcia,2009-12-29,Truong THPT Nguyen Du,10,2.4
Ivy,Tran,2011-09-13,,9,35.8
Chi,Vo,2011-01-19,,Senior,34.6
Olivia,Martin,2010-04-03,Harvard University,,49.0
Liam,Thomas,2009-06-21,Northwestern University,12,4.9
Henry,Vu,2008-01-05,,Junior,41.6
Quang,Dang,2011-04-30,Northwestern University,,35.3
Ivy,Jackson,2008-08-20,Truong THPT Vo Thi Sau,,18.9
Linh,Moore,,Truong THPT Vo Thi Sau,Sophomore,6.7
Quinn,Davis,,,Sophomore,18.8
Hoa,Tran,2010-01-03,Truong THPT Nguyen Trai,,41.4
Yen,Lopez,2011-07-29,Columbia University,Senior,7.1
Thu,Smith,2008-08-10,,12,31.3
Khanh,Phung,2009-01-05,Truong THPT Tran Phu,10,23.3
Yen,Ho,,Truong THPT Ly Tu Trong,11,27.7
Grace,Davis,2008-05-30,Yale University,,37.4
Minh,Wilson,2010-11-04,,,28.8
Noah,Davis,,,Junior,30.6
An,Hernandez,2009-10-14,,Sophomore,20.3
Quinn,Smith,2008-03-16,University of Chicago,Senior,46.1
Yen,Dang,2010-05-12,Truong THPT Nguyen Trai,10,18.9
Brian,Le,2007-12-01,Truong THPT Quang Trung,,10.9
Emma,Ngo,2009-10-20,,Freshman,22.1
Sang,Le,2009-10-25,,,41.9
Xuan,Le,,Columbia University,Senior,19.9
Yen,Ngo,2009-04-23,MIT,Sophomore,2.3
Quang,Phung,2009-04-12,Truong THPT Le Loi,9,30.7
Henry,Pham,2011-09-27,Stanford University,Senior,42.5
Sam,Dang,2011-05-13,MIT,10,35.0
Henry,Lopez,2009-02-23,Truong THPT Nguyen Trai,Junior,7.9
Nam,Nguyen,2010-12-30,Truong THPT Hai Ba Trung,,2.6
Minh,Taylor,2011-05-05,Princeton University,10,12.9
Khanh,Rodriguez,2010-10-17,Northwestern University,,49.7
Yen,Le,2009-06-06,University of Chicago,Junior,33.1
Maya,Dang,2008-03-14,Stanford University,Freshman,2.6
Minh,Johnson,2008-09-30,Princeton University,,33.6
Oanh,Dinh,2011-07-31,,Senior,16.5
Sang,Jones,2011-03-10,,Sophomore,4.3
Phong,Lopez,2008-10-07,Princeton University,12,8.5
Jack,Thomas,2008-11-22,Duke University,Junior,24.4
Paul,Dong,2009-01-15,,12,11.3
David,Brown,2008-03-29,Truong THPT Vo Thi Sau,11,18.7
Binh,Pham,2009-09-10,Northwestern University,Sophomore,7.3
Alex,Martin,2007-12-17,Truong THPT Quang Trung,11,14.3
Thu,Taylor,2011-06-14,,,35.4
Grace,Gonzalez,2011-03-16,Truong THPT Le Quy Don,10,26.4
Paul,Garcia,2008-12-20,Truong THPT Vo Thi Sau,9,21.8
Xuan,Brown,,Stanford University,,37.3
Sang,Moore,2009-04-15,,,48.5
David,Hoang,2011-01-26,,,21.0
Giang,Johnson,2011-05-21,Truong THPT Nguyen Du,,41.8
Liam,Vo,2011-03-08,Princeton University,,37.4
Minh,Brown,2009-02-05,Princeton University,10,42.8
Xuan,Hernandez,2009-11-09,Truong THPT Le Loi,,23.8
Maya,Taylor,2010-05-07,,10,38.6
Brian,Thomas,2008-09-23,Truong THPT Hai Ba Trung,,48.6
Noah,Hoang,,Truong THPT Quang Trung,,32.7
Grace,Pham,2010-11-20,Harvard University,,41.4
Henry,Williams,2009-03-27,Truong THPT Quang Trung,,33.8
Brian,Jackson,2009-03-07,Princeton University,,30.5
Sam,Wilson,2008-03-18,Truong THPT Nguyen Du,10,3.8
Sang,Lopez,,University of California,10,33.0
Frank,Ly,2010-01-08,,Senior,21.8
Uyen,Taylor,2008-10-31,Truong THPT Vo Thi Sau,,5.1
Emma,Wilson,2011-07-30,Truong THPT Nguyen Trai,,2.0
Giang,Dang,2011-10-23,Truong THPT Vo Thi Sau,Freshman,1.1
Noah,Dong,2011-08-21,,11,15.0
Khanh,Williams,,Truong THPT Vo Thi Sau,,24.5
Oanh,Dang,2011-01-26,University of California,12,37.7
Quinn,Martin,2011-03-01,,9,33.3
Yen,Martinez,2007-11-22,Truong THPT Nguyen Du,Freshman,15.8
Binh,Brown,2009-07-16,University of Chicago,,48.9
Quinn,Truong,2010-09-01,Truong THPT Le Loi,,44.3
Tina,Martin,2009-07-22,Truong THPT Tran Phu,,0.2
Chi,Ngo,2009-09-30,,Junior,20.5
Kelly,Vo,,Yale University,,8.6
Kelly,Dong,,,,39.2
Quang,Ngo,2008-12-28,Princeton University,Sophomore,47.5
Viet,Jackson,2010-07-01,Northwestern University,,26.1
Quang,Vu,,Columbia University,,28.5
Xuan,Williams,2008-08-07,Truong THPT Le Loi,Sophomore,13.5
Sam,Smith,2008-10-05,,,25.2
Giang,Brown,2008-06-24,,,29.6
Noah,Hernandez,2010-02-24,MIT,9,27.5
Maya,Brown,2010-07-17,Truong THPT Quang Trung,,24.7
An,Martinez,2010-02-09,,Senior,24.9
Phong,Jackson,2010-06-11,,9,40.2
David,Truong,2009-05-26,Princeton University,,23.9
Sam,Truong,,,,49.2
Frank,Phan,2009-02-20,,Junior,9.4
Uyen,Dang,2008-04-22,University of California,Senior,26.0
Rachel,Truong,,,,13.2
Oanh,Wilson,2009-04-11,,Senior,48.7
Tina,Moore,2010-05-27,Harvard University,,19.2
Ivy,Le,2008-09-10,Stanford University,Sophomore,6.7
Xuan,Anderson,2009-06-21,Truong THPT Quang Trung,Freshman,28.9
Uyen,Vu,2009-05-17,Truong THPT Ly Tu Trong,12,31.5
Binh,Rodriguez,2011-05-19,Truong THPT Nguyen Hue,11,27.9
Kelly,Duong,2009-08-27,Yale University,9,46.7
Duc,Lopez,,,Junior,19.6
Thu,Tran,,Truong THPT Le Loi,11,39.2
Frank,Taylor,,Stanford University,12,33.7
Uyen,Duong,2008-04-02,University of California,,22.3
Xuan,Brown,2010-11-08,Truong THPT Le Quy Don,Freshman,37.0
Duc,Miller,,,,38.7
Henry,Truong,,,11,6.7
Khanh,Hernandez,2008-08-18,Columbia University,9,35.1
An,Dinh,,Truong THPT Vo Thi Sau,,2.4
Oanh,Hoang,2009-05-11,Truong THPT Vo Thi Sau,10,6.1
Frank,Vu,2010-08-06,,Senior,27.7
Ivy,Johnson,2011-04-25,Truong THPT Quang Trung,,33.7
Uyen,Tran,2009-10-23,University of Chicago,,32.7
Olivia,Jones,2009-09-09,Northwestern University,10,5.8
Henry,Jones,2009-10-01,,,35.4
Maya,Truong,2009-06-21,Truong THPT Le Quy Don,,31.3
Quang,Ngo,2010-06-12,,,46.1
Thu,Jackson,,Columbia University,,22.8
Yen,Ngo,2009-04-11,,,23.3
Jack,Le,2009-08-20,Columbia University,11,38.5
Paul,Moore,2008-07-09,Truong THPT Le Quy Don,Freshman,43.8
Catherine,Tran,2010-05-01,Truong THPT Quang Trung,,47.4
Noah,Dang,2010-05-31,Truong THPT Vo Thi Sau,Senior,28.1
Frank,Truong,2011-05-15,,,46.4
Alex,Davis,2009-08-27,Princeton University,Sophomore,18.7
Henry,Duong,2008-11-26,Princeton University,,31.9
Linh,Pham,,Truong THPT Le Quy Don,Junior,20.4
Minh,Dong,2009-06-08,Yale University,,31.7
Jack,Phan,,Duke University,Junior,31.4
Binh,Gonzalez,2011-08-24,,Junior,9.6
Yen,Truong,2009-04-15,Stanford University,Sophomore,21.5
Em,Martinez,2011-02-09,,,30.5
Minh,Brown,2008-10-15,Northwestern University,9,39.8
An,Taylor,2011-05-30,Harvard University,,2.7
Sang,Vo,2010-08-23,University of Chicago,,4.6
Grace,Lopez,,Truong THPT Nguyen Trai,9,15.1
Phong,Dong,2009-12-25,Truong THPT Nguyen Hue,,23.6
Brian,Anderson,2008-09-01,,,24.1
Henry,Truong,,Princeton University,Sophomore,8.6
Phong,Bui,2010-11-05,,,25.0
Xuan,Phan,2008-01-15,Truong THPT Le Quy Don,9,43.8
Sang,Wilson,,Northwestern University,Sophomore,42.9
Binh,Pham,2009-03-23,MIT,Senior,25.1
Sang,Smith,,Northwestern University,Sophomore,17.8
David,Thomas,2010-03-04,,9,41.9
Giang,Rodriguez,2007-12-11,Truong THPT Tran Phu,Freshman,7.0
Henry,Lopez,2011-01-04,Stanford University,Junior,7.4
Quinn,Miller,,Harvard University,,41.0
Duc,Gonzalez,2008-12-08,Truong THPT Nguyen Hue,,21.6
Brian,Thomas,,Truong THPT Nguyen Du,10,9.4
Duc,Anderson,2010-06-16,Truong THPT Ly Tu Trong,,45.2
Frank,Vu,2010-01-09,Duke University,12,11.9
Grace,Miller,2008-06-25,Truong THPT Hai Ba Trung,,35.6
Henry,Gonzalez,,Stanford University,Freshman,5.1
David,Smith,2008-04-10,Duke University,,16.7
Nam,Hernandez,2008-11-18,Truong THPT Ly Tu Trong,Senior,33.3
Jack,Duong,2010-01-19,MIT,Freshman,19.7
Chi,Phan,2010-06-26,Truong THPT Quang Trung,,21.3
Kelly,Wilson,2008-03-02,University of California,Senior,21.8
Minh,Dang,2009-08-29,,10,10.4
Xuan,Le,2009-04-13,,,42.2
Catherine,Davis,2010-05-02,,9,17.7
Binh,Jackson,2009-05-27,,Freshman,47.3
Phong,Vo,2010-09-07,Northwestern University,9,12.4
Henry,Nguyen,,,Sophomore,28.4
Giang,Rodriguez,,Columbia University,12,48.7
Sam,Ngo,2008-11-16,MIT,Junior,36.1
Em,Pham,2011-03-25,Columbia University,9,12.2
Em,Jackson,,MIT,,46.0
Maya,Dong,2009-08-28,,11,27.1
Sang,Phung,2010-01-26,Princeton University,Senior,35.6
Xuan,Vu,,Truong THPT Nguyen Hue,,2.9
Minh,Lopez,2010-07-01,Truong THPT Le Loi,Sophomore,45.3
Phong,Wilson,2011-01-24,,Sophomore,39.5
Phong,Phung,2009-01-27,Stanford University,,19.8
Kelly,Garcia,,Truong THPT Ly Tu Trong,12,5.1
Linh,Rodriguez,2010-08-18,Truong THPT Quang Trung,11,28.8
Oanh,Lopez,2010-08-19,,Sophomore,13.0
Brian,Ho,2010-08-22,,,12.3
Tina,Wilson,2008-03-10,,,29.2
Quang,Williams,2008-09-25,Truong THPT Vo Thi Sau,,34.8
Henry,Ly,,Truong THPT Nguyen Du,11,42.3
Alex,Ly,2008-05-23,Truong THPT Nguyen Hue,10,47.0
Tina,Le,2009-10-25,Northwestern University,,27.2
Duc,Lopez,2010-07-20,Harvard University,,24.2
Liam,Rodriguez,,Truong THPT Nguyen Du,,22.9
Minh,Pham,2009-10-28,,,6.7
Noah,Jones,2008-01-13,Princeton University,Junior,24.9
Tina,Ly,2009-06-05,Princeton University,Sophomore,46.9
Kelly,Dang,2010-09-10,Truong THPT Vo Thi Sau,,41.9
Alex,Williams,2008-08-15,MIT,,14.3
Noah,Dinh,2008-10-11,Truong THPT Nguyen Hue,10,33.9
Minh,Le,,,Junior,34.2
Uyen,Smith,2007-12-20,Truong THPT Nguyen Trai,,16.1
Ivy,Do,2010-01-12,,,15.8
Thu,Brown,,,Sophomore,1.4
Maya,Pham,,,10,37.4
Giang,Nguyen,2008-12-11,Truong THPT Nguyen Trai,,1.7
Rachel,Jackson,2007-11-21,Truong THPT Nguyen Hue,,26.1
Oanh,Garcia,,,Junior,0.0
Nam,Thomas,2011-09-24,,Senior,8.2
Frank,Wilson,2009-02-16,Truong THPT Ly Tu Trong,,40.2
Viet,Dang,,Harvard University,,35.4
Ivy,Phan,2010-11-21,Truong THPT Nguyen Trai,,13.8
Hoa,Anderson,2008-02-17,,Sophomore,43.2
Uyen,Vo,2010-09-20,,,20.1
Yen,Phung,2010-11-24,,,19.9
Binh,Nguyen,,Truong THPT Nguyen Du,,30.0
Frank,Smith,,Northwestern University,11,43.3
Noah,Ly,2011-02-22,Truong THPT Le Loi,,21.7
Quinn,Ly,2008-04-15,University of Chicago,,19.8
Alex,Jones,2007-12-13,,Freshman,1.6
Giang,Rodriguez,2009-02-17,,Sophomore,34.6
Alex,Smith,,Truong THPT Le Quy Don,,37.3
Olivia,Dang,2007-12-17,,,46.1
Liam,Hernandez,,University of California,,11.3
Noah,Rodriguez,2010-06-12,Truong THPT Le Quy Don,Sophomore,28.5
Binh,Thomas,2008-04-06,Truong THPT Le Quy Don,Senior,33.7
Henry,Ngo,2008-04-17,Princeton University,10,39.8
Henry,Dong,2007-11-14,,,25.5
Phong,Williams,2010-02-04,Truong THPT Le Quy Don,,4.5
Xuan,Vo,2010-03-23,University of California,Sophomore,22.4
Xuan,Phung,2008-11-24,,,8.5
Maya,Wilson,2010-03-03,,9,35.3
Quang,Le,,Columbia University,9,37.5
Hoa,Taylor,2008-04-29,Truong THPT Nguyen Trai,10,25.4
Khanh,Pham,2008-11-10,MIT,,19.9
Noah,Gonzalez,2008-07-15,Truong THPT Nguyen Hue,10,49.8
Quang,Pham,,,Sophomore,11.9
Tina,Davis,2010-01-24,,Junior,36.8
Hoa,Smith,2011-09-10,Truong THPT Vo Thi Sau,11,5.1
Duc,Lopez,,Columbia University,,5.8
David,Lopez,2008-06-02,MIT,Sophomore,36.2
Phong,Dinh,2008-11-20,,12,7.9
Brian,Martinez,,,,25.7
An,Johnson,,,,26.9
Quang,Moore,2009-12-23,Truong THPT Vo Thi Sau,11,46.6
Alex,Lopez,2008-04-21,MIT,12,8.9
Xuan,Martin,2010-06-03,,,44.6
Catherine,Tran,2009-04-28,Northwestern University,,10.3
Frank,Duong,2011-07-17,MIT,,38.3
Em,Jackson,2008-09-18,,,3.5
Oanh,Martin,,Truong THPT Nguyen Du,10,29.8
Ivy,Miller,2008-05-11,Truong THPT Nguyen Du,Sophomore,8.5
Quang,Davis,,Stanford University,,31.3
Thu,Garcia,,Truong THPT Ly Tu Trong,,38.1
Xuan,Martin,2008-09-30,,Junior,2.8
Xuan,Phan,2010-09-14,Northwestern University,10,39.4
Jack,Wilson,2011-04-02,,Junior,10.6
Rachel,Moore,2008-02-05,MIT,,9.5
Minh,Martinez,2008-05-03,,11,32.5
Noah,Vo,2011-06-04,Truong THPT Le Quy Don,Freshman,7.1
Brian,Hernandez,,,Senior,29.2
Hoa,Martin,2009-06-26,Truong THPT Nguyen Du,Junior,18.3
Hoa,Vu,2008-02-06,,11,29.0
Viet,Ngo,2009-05-20,Truong THPT Tran Phu,Junior,12.7
Paul,Anderson,2007-12-01,Harvard University,10,13.7
Tina,Dang,,Truong THPT Nguyen Trai,10,3.8
An,Moore,2010-10-07,Northwestern University,Freshman,29.2
Xuan,Dong,2008-01-04,Northwestern University,,29.2
Nam,Dang,2008-02-13,Truong THPT Nguyen Hue,9,35.5
Ivy,Lopez,2011-01-21,Columbia University,Junior,8.6
Yen,Dinh,,Truong THPT Le Quy Don,,48.1
Liam,Phung,2010-05-06,MIT,12,14.7
Thu,Martin,,Truong THPT Nguyen Trai,Junior,17.0
Giang,Duong,2008-04-29,Stanford University,12,3.5
Linh,Anderson,,Duke University,,9.1
Quang,Lopez,,,,43.8
Uyen,Ly,2010-04-16,Truong THPT Tran Phu,10,32.6
Jack,Martin,2009-08-20,Truong THPT Nguyen Trai,11,22.2
David,Vo,2009-04-17,,Freshman,2.9
Chi,Ly,2011-01-16,University of California,,39.9
Uyen,Moore,2009-10-29,,12,15.4
Sam,Nguyen,2009-03-21,Stanford University,10,20.9
Duc,Nguyen,2009-05-11,Truong THPT Le Loi,,27.6
Brian,Taylor,2009-12-30,Truong THPT Le Quy Don,10,10.4
Jack,Le,2009-08-12,Truong THPT Hai Ba Trung,,5.9
Sang,Ngo,2008-01-30,,10,17.3
David,Rodriguez,2010-07-07,Truong THPT Le Quy Don,,27.8
Binh,Hernandez,2010-04-22,,,36.3
Henry,Johnson,,,Senior,50.0
Yen,Brown,2009-05-25,Princeton University,11,21.2
Giang,Phung,2010-06-04,Truong THPT Le Quy Don,Freshman,24.2
Chi,Vu,,,,26.3
Sam,Anderson,2009-11-05,Truong THPT Nguyen Trai,10,3.8
Em,Dang,,Truong THPT Vo Thi Sau,12,24.9
Olivia,Dang,2010-11-16,Princeton University,Sophomore,23.6
Duc,Nguyen,2010-06-17,Truong THPT Tran Phu,,48.9
Quang,Jones,,Truong THPT Ly Tu Trong,,49.5
Viet,Duong,2010-10-30,,,26.4
Brian,Le,2009-03-09,Northwestern University,,14.6
Quinn,Johnson,2011-06-06,Stanford University,11,27.0
Duc,Martin,2011-07-30,Truong THPT Hai Ba Trung,Sophomore,31.7
Oanh,Martin,2010-06-30,Truong THPT Le Loi,Junior,20.6
Grace,Dinh,2009-11-29,Truong THPT Nguyen Hue,,13.6
Ivy,Martinez,2010-05-14,Northwestern University,11,22.2
Alex,Bui,,Truong THPT Vo Thi Sau,9,26.0
Minh,Anderson,,Truong THPT Nguyen Hue,,6.5
Uyen,Brown,2008-03-27,Truong THPT Ly Tu Trong,10,19.1
Phong,Tran,2010-06-06,Truong THPT Hai Ba Trung,11,15.1
Tina,Phung,,Truong THPT Le Loi,,8.3
Thu,Ngo,2011-01-17,Truong THPT Nguyen Trai,9,40.2
Emma,Taylor,2009-09-21,Yale University,Junior,41.2
Rachel,Lopez,2009-03-26,,11,43.5
Kelly,Le,2011-08-29,Stanford University,,5.7
Maya,Ho,2011-09-18,Truong THPT Le Loi,9,24.0
Brian,Wilson,2009-02-15,,12,30.6
Duc,Dinh,2009-12-26,,,27.8
Minh,Miller,2008-09-18,Truong THPT Vo Thi Sau,Junior,12.9
Emma,Dinh,2009-01-29,,,38.8
Binh,Phan,2010-03-18,,,2.3
Thu,Le,2011-10-10,,,7.2
Oanh,Miller,2007-11-21,Truong THPT Nguyen Du,10,49.9
Olivia,Ngo,2009-06-30,University of California,Junior,15.2
Hoa,Thomas,2008-11-07,University of California,,41.8
Binh,Dang,2007-12-16,Truong THPT Ly Tu Trong,,24.9
Sang,Gonzalez,2011-07-26,Truong THPT Nguyen Du,,0.4
Alex,Phung,2010-05-05,Truong THPT Nguyen Trai,Freshman,28.1
Olivia,Hernandez,2011-08-03,,,38.3
Grace,Le,,,Senior,34.6
Maya,Moore,2011-10-06,Truong THPT Nguyen Trai,Sophomore,20.1
Grace,Dinh,2010-01-03,Truong THPT Vo Thi Sau,Sophomore,12.4
Jack,Dong,2009-02-16,Truong THPT Le Loi,11,14.7
Minh,Pham,,Truong THPT Quang Trung,Freshman,15.7
Rachel,Phan,,Stanford University,Senior,29.9
Quang,Gonzalez,2008-07-29,Princeton University,Sophomore,10.3
Liam,Smith,2011-10-21,Truong THPT Nguyen Hue,,27.1
Sang,Duong,2011-07-13,Stanford University,11,47.7
Grace,Smith,2010-09-22,,9,27.9
Quinn,Hernandez,,Truong THPT Tran Phu,Junior,35.7
Sam,Gonzalez,2010-07-21,Truong THPT Nguyen Du,,15.0
Yen,Wilson,2009-07-15,Harvard University,10,36.0
Henry,Jackson,2011-04-14,Stanford University,12,8.6
Alex,Martin,2010-05-28,Duke University,9,40.0
Yen,Hernandez,2010-04-26,Truong THPT Nguyen Hue,Freshman,20.6
Oanh,Wilson,2011-09-04,Truong THPT Vo Thi Sau,Junior,44.6
Rachel,Hoang,2009-06-23,Truong THPT Nguyen Du,10,11.4
Frank,Vo,2009-09-08,,11,19.5
Nam,Hernandez,2009-04-23,Truong THPT Le Quy Don,11,37.8
Noah,Anderson,2010-08-25,,,16.8
An,Gonzalez,,,Freshman,23.1
Linh,Martinez,,Truong THPT Tran Phu,Senior,5.6
Ivy,Wilson,2010-11-10,Truong THPT Vo Thi Sau,,23.9
Jack,Truong,,Northwestern University,Senior,0.1
Quinn,Ly,,,10,39.2
Maya,Nguyen,,,Senior,5.0
Paul,Martin,2010-04-03,Truong THPT Ly Tu Trong,9,48.7
Uyen,Tran,2009-05-23,Truong THPT Nguyen Hue,9,18.4
Quinn,Smith,2010-08-02,,,43.5
Linh,Gonzalez,,Truong THPT Nguyen Du,Sophomore,21.0
Uyen,Lopez,2007-11-11,Truong THPT Le Loi,,4.1
Sam,Dang,,Truong THPT Quang Trung,,30.2
Grace,Bui,,Truong THPT Hai Ba Trung,9,36.6
Sang,Hernandez,2010-07-19,Truong THPT Tran Phu,9,29.0
Hoa,Johnson,2009-01-22,Truong THPT Nguyen Du,Sophomore,45.4
Jack,Martin,2009-07-16,Stanford University,9,9.7
Khanh,Jackson,2011-09-30,,12,4.4
Catherine,Moore,2011-06-14,Truong THPT Le Loi,9,24.5
David,Phung,,University of Chicago,,7.4
Quinn,Phan,2008-09-02,University of California,9,26.0
Catherine,Vo,2011-09-11,,11,2.4
Jack,Garcia,2008-08-28,,Senior,45.8
Binh,Do,2011-01-22,University of California,10,46.4
David,Truong,2011-10-15,MIT,,25.7
Olivia,Williams,2008-09-17,University of California,Sophomore,10.6
Phong,Bui,2009-11-11,Stanford University,,42.8
Quang,Dang,2009-03-24,Truong THPT Le Loi,,45.9
Henry,Jones,2008-01-06,Duke University,11,34.4
Duc,Jackson,2010-06-02,Columbia University,,11.3
Ivy,Ly,2008-02-27,Truong THPT Le Loi,,11.3
Minh,Pham,2009-09-20,Truong THPT Ly Tu Trong,,19.9
Frank,Dang,2010-08-16,,Sophomore,35.3
Phong,Garcia,2010-03-15,Stanford University,9,12.8
An,Taylor,2008-07-04,Duke University,,34.6
Catherine,Anderson,2011-07-30,Princeton University,,25.9
Brian,Jones,,Truong THPT Nguyen Hue,10,9.5
Quinn,Moore,,Truong THPT Nguyen Trai,,45.8
Catherine,Tran,,Truong THPT Le Loi,Senior,13.5
Thu,Ly,2010-12-01,Truong THPT Quang Trung,,36.4
Emma,Thomas,2009-04-20,Truong THPT Tran Phu,,0.0
Kelly,Ly,2009-04-23,Truong THPT Le Quy Don,Sophomore,7.2
Khanh,Dang,2008-08-26,,11,42.2
Henry,Phan,2011-04-21,,Sophomore,37.1
Emma,Martinez,2011-07-03,Truong THPT Nguyen Hue,,48.9
Viet,Gonzalez,2008-10-12,Truong THPT Nguyen Trai,,3.2
Rachel,Vo,2010-08-09,Northwestern University,,35.7
Brian,Ngo,,,Sophomore,14.4
Tina,Jones,,Truong THPT Quang Trung,9,12.4
Tina,Williams,2010-01-29,,Senior,23.1
Maya,Jackson,2011-09-02,Northwestern University,,44.7
Binh,Johnson,2009-12-03,Truong THPT Nguyen Hue,,21.6
Giang,Rodriguez,,Princeton University,,8.1
Quang,Ngo,2010-08-16,,Junior,22.1
Binh,Do,2009-02-27,University of California,,41.5
Catherine,Jackson,2009-12-07,University of California,Senior,26.8
Binh,Truong,2010-04-22,Northwestern University,10,7.0
Emma,Taylor,2011-04-09,Columbia University,,22.3
Uyen,Miller,2010-02-07,Truong THPT Nguyen Trai,,9.3
Noah,Brown,2010-06-21,,,44.3
